Locus type 	JGI3.1 	MpTak1_v5.1 	MpTak1_v5.1r2 	MpTak_v6.1 	MpTak_v6.1r2 	MpTak_v7.1 	Status
mRNA 	Mapoly0021s0114 	Mp2g06570 	Mp2g06570 	Mp2g06570 	Mp2g06570 	Mp2g06570 	
mRNA 	Mapoly0021s0115 	Mp2g06580 	Mp2g06580 	Mp2g06580 	Mp2g06580 	Mp2g06580 	
mRNA 	- 	Mp2g06590 	Mp2g06590 	Mp2g06590 	Mp2g06590 	Mp2g06590 	
mRNA 	- 	Mp2g06600 	- 	- 	- 	- 	
mRNA 	- 	Mp2g06610 	Mp2g06610 	Mp2g06610 	Mp2g06610 	Mp2g06610 	
mRNA 	- 	Mp2g06620 	Mp2g06620 	Mp2g06620 	Mp2g06620 	Mp2g06620 	
mRNA 	Mapoly0021s0116 	Mp2g06630 	Mp2g06630 	Mp2g06630 	Mp2g06630 	Mp2g06630 	
mRNA 	Mapoly0021s0117 	Mp2g06640 	Mp2g06640 	Mp2g06640 	Mp2g06640 	Mp2g06640 	
mRNA 	Mapoly0021s0118 	Mp2g06650 	Mp2g06650 	Mp2g06650 	Mp2g06650 	Mp2g06650 	
mRNA 	Mapoly0021s0119 	Mp2g06660 	Mp2g06660 	Mp2g06660 	Mp2g06660 	Mp2g06660 	
mRNA 	Mapoly0021s0120 	Mp2g06670 	Mp2g06670 	Mp2g06670 	Mp2g06670 	Mp2g06670 	
mRNA 	Mapoly0021s0121 	Mp2g06680 	Mp2g06680 	Mp2g06680 	Mp2g06680 	Mp2g06680 	
mRNA 	Mapoly0021s0122 	Mp2g06690 	Mp2g06690 	Mp2g06690 	Mp2g06690 	Mp2g06690 	
mRNA 	Mapoly0021s0123 	Mp2g06700 	Mp2g06700 	Mp2g06700 	Mp2g06700 	Mp2g06700 	
mRNA 	Mapoly0021s0124 	Mp2g06710 	Mp2g06710 	Mp2g06710 	Mp2g06710 	Mp2g06710 	
mRNA 	Mapoly0021s0125 	Mp2g06720 	Mp2g06720 	Mp2g06720 	Mp2g06720 	Mp2g06720 	
mRNA 	Mapoly0021s0126 	Mp2g06730 	Mp2g06730 	Mp2g06730 	Mp2g06730 	Mp2g06730 	
mRNA 	Mapoly0021s0127 	Mp2g06740 	Mp2g06740 	Mp2g06740 	Mp2g06740 	Mp2g06740 	
mRNA 	Mapoly0021s0128 	Mp2g06750 	Mp2g06750 	Mp2g06750 	Mp2g06750 	Mp2g06750 	
mRNA 	Mapoly0021s0129 	Mp2g06760 	Mp2g06760 	Mp2g06760 	Mp2g06760 	Mp2g06760 	
mRNA 	Mapoly0021s0130 	Mp2g06770 	Mp2g06770 	Mp2g06770 	Mp2g06770 	- 	deleted as of v7.1
mRNA 	Mapoly0021s0131 	Mp2g06780 	Mp2g06780 	Mp2g06780 	Mp2g06780 	Mp2g06780 	
mRNA 	Mapoly0021s0132 	Mp2g06790 	Mp2g06790 	Mp2g06790 	Mp2g06790 	Mp2g06790 	
mRNA 	Mapoly0021s0133 	Mp2g06800 	Mp2g06800 	Mp2g06800 	Mp2g06800 	Mp2g06800 	
mRNA 	Mapoly0021s0134 	Mp2g06810 	Mp2g06810 	Mp2g06810 	Mp2g06810 	Mp2g06810 	
mRNA 	Mapoly0021s0135 	Mp2g06820 	Mp2g06820 	Mp2g06820 	Mp2g06820 	Mp2g06820 	
mRNA 	Mapoly0021s0136 	Mp2g06830 	Mp2g06830 	Mp2g06830 	Mp2g06830 	Mp2g06830 	
mRNA 	Mapoly0021s0137 	Mp2g06840 	Mp2g06840 	Mp2g06840 	Mp2g06840 	Mp2g06840 	
mRNA 	Mapoly0021s0138 	Mp2g06850 	Mp2g06850 	Mp2g06850 	Mp2g06850 	Mp2g06850 	
mRNA 	Mapoly0021s0139 	Mp2g06860 	Mp2g06860 	Mp2g06860 	Mp2g06860 	Mp2g06860 	
mRNA 	Mapoly0021s0140 	Mp2g06870 	Mp2g06870 	Mp2g06870 	Mp2g06870 	Mp2g06870 	
mRNA 	Mapoly0021s0141 	Mp2g06880 	Mp2g06880 	Mp2g06880 	Mp2g06880 	Mp2g06880 	
mRNA 	Mapoly0021s0142 	Mp2g06890 	Mp2g06890 	Mp2g06890 	Mp2g06890 	Mp2g06890 	
mRNA 	Mapoly0021s0143 	Mp2g06900 	Mp2g06900 	Mp2g06900 	Mp2g06900 	Mp2g06900 	
mRNA 	Mapoly0021s0144 	Mp2g06910 	Mp2g06910 	Mp2g06910 	Mp2g06910 	Mp2g06910 	
mRNA 	Mapoly0021s0145 	Mp2g06920 	Mp2g06920 	Mp2g06920 	Mp2g06920 	Mp2g06920 	
mRNA 	Mapoly0021s0146 	Mp2g06930 	Mp2g06930 	Mp2g06930 	Mp2g06930 	Mp2g06930 	
mRNA 	Mapoly0021s0147 	Mp2g06940 	Mp2g06940 	Mp2g06940 	Mp2g06940 	Mp2g06940 	
mRNA 	Mapoly0021s0148 	Mp2g06950 	Mp2g06950 	Mp2g06950 	Mp2g06950 	Mp2g06950 	
mRNA 	Mapoly0021s0149 	Mp2g06960 	Mp2g06960 	Mp2g06960 	Mp2g06960 	Mp2g06960 	
mRNA 	Mapoly0021s0150 	Mp2g06970 	Mp2g06970 	Mp2g06970 	Mp2g06970 	Mp2g06970 	
mRNA 	Mapoly0021s0151 	Mp2g06980 	Mp2g06980 	Mp2g06980 	Mp2g06980 	Mp2g06980 	
mRNA 	Mapoly0021s0152 	Mp2g06990 	Mp2g06990 	Mp2g06990 	Mp2g06990 	Mp2g06990 	
mRNA 	Mapoly0021s0153 	Mp2g07000 	Mp2g07000 	Mp2g07000 	Mp2g07000 	Mp2g07000 	
mRNA 	Mapoly0021s0154 	Mp2g07010 	Mp2g07010 	Mp2g07010 	Mp2g07010 	Mp2g07010 	
mRNA 	Mapoly0021s0155 	Mp2g07020 	Mp2g07020 	Mp2g07020 	Mp2g07020 	Mp2g07020 	
mRNA 	Mapoly0021s0156 	Mp2g07030 	Mp2g07030 	Mp2g07030 	Mp2g07030 	Mp2g07030 	
mRNA 	Mapoly0021s0157 	Mp2g07040 	Mp2g07040 	Mp2g07040 	Mp2g07040 	Mp2g07040 	
mRNA 	Mapoly0021s0158 	Mp2g07050 	- 	- 	- 	- 	
mRNA 	Mapoly0021s0159 	Mp2g07060 	Mp2g07060 	Mp2g07060 	Mp2g07060 	Mp2g07060 	
mRNA 	Mapoly0021s0160 	Mp2g07070 	Mp2g07070 	Mp2g07070 	Mp2g07070 	Mp2g07070 	
mRNA 	Mapoly0021s0161 	Mp2g07080 	Mp2g07080 	Mp2g07080 	Mp2g07080 	Mp2g07080 	
mRNA 	Mapoly0021s0162 	Mp2g07090 	Mp2g07090 	Mp2g07090 	Mp2g07090 	Mp2g07090 	
mRNA 	Mapoly0021s0163 	Mp2g07100 	Mp2g07100 	Mp2g07100 	Mp2g07100 	Mp2g07100 	
mRNA 	Mapoly0232s0001 	Mp2g07110 	Mp2g07110 	Mp2g07110 	Mp2g07110 	Mp2g07110 	
mRNA 	- 	Mp2g07120 	Mp2g07120 	Mp2g07120 	Mp2g07120 	Mp2g07120 	
mRNA 	Mapoly0015s0001 	Mp2g07130 	Mp2g07130 	Mp2g07130 	Mp2g07130 	Mp2g07130 	
mRNA 	Mapoly0015s0002 	Mp2g07140 	Mp2g07140 	Mp2g07140 	Mp2g07140 	Mp2g07140 	
mRNA 	Mapoly0015s0003 	Mp2g07150 	Mp2g07150 	Mp2g07150 	Mp2g07150 	Mp2g07150 	
mRNA 	Mapoly0015s0004 	Mp2g07160 	Mp2g07160 	Mp2g07160 	Mp2g07160 	Mp2g07160 	
mRNA 	Mapoly0015s0005 	Mp2g07170 	Mp2g07170 	Mp2g07170 	Mp2g07170 	Mp2g07170 	
mRNA 	Mapoly0015s0006 	Mp2g07180 	Mp2g07180 	Mp2g07180 	Mp2g07180 	Mp2g07180 	
mRNA 	Mapoly0015s0007 	Mp2g07190 	Mp2g07190 	Mp2g07190 	Mp2g07190 	Mp2g07190 	
mRNA 	Mapoly0015s0008 	Mp2g07200 	Mp2g07200 	Mp2g07200 	Mp2g07200 	Mp2g07200 	
mRNA 	Mapoly0015s0009 	Mp2g07210 	Mp2g07210 	Mp2g07210 	Mp2g07210 	Mp2g07210 	
mRNA 	Mapoly0015s0010 	Mp2g07220 	Mp2g07220 	Mp2g07220 	Mp2g07220 	Mp2g07220 	
mRNA 	Mapoly0015s0011 	Mp2g07230 	Mp2g07230 	Mp2g07230 	Mp2g07230 	Mp2g07230 	
mRNA 	Mapoly0015s0012 	Mp2g07240 	Mp2g07240 	Mp2g07240 	Mp2g07240 	Mp2g07240 	
mRNA 	Mapoly0015s0013 	Mp2g07250 	Mp2g07250 	Mp2g07250 	Mp2g07250 	Mp2g07250 	
mRNA 	Mapoly0015s0014 	Mp2g07260 	Mp2g07260 	Mp2g07260 	Mp2g07260 	Mp2g07260 	
mRNA 	Mapoly1391s0001 	Mp2g07270 	Mp2g07270 	Mp2g07270 	Mp2g07270 	Mp2g07270 	
mRNA 	Mapoly0015s0015 	Mp2g07280 	Mp2g07280 	Mp2g07280 	Mp2g07280 	Mp2g07280 	
mRNA 	Mapoly0015s0016 	Mp2g07290 	Mp2g07290 	Mp2g07290 	Mp2g07290 	Mp2g07290 	
mRNA 	Mapoly0015s0017 	Mp2g07300 	Mp2g07300 	Mp2g07300 	Mp2g07300 	Mp2g07300 	
mRNA 	Mapoly0015s0018 	Mp2g07310 	Mp2g07310 	Mp2g07310 	Mp2g07310 	Mp2g07310 	
mRNA 	Mapoly0015s0019 	Mp2g07320 	Mp2g07320 	Mp2g07320 	Mp2g07320 	Mp2g07320 	
mRNA 	Mapoly0015s0020 	Mp2g07330 	Mp2g07330 	Mp2g07330 	Mp2g07330 	Mp2g07330 	
mRNA 	Mapoly0015s0021 	Mp2g07340 	Mp2g07340 	Mp2g07340 	Mp2g07340 	Mp2g07340 	
mRNA 	Mapoly0015s0022 	Mp2g07350 	Mp2g07350 	Mp2g07350 	Mp2g07350 	Mp2g07350 	
mRNA 	Mapoly0337s0001 	Mp2g07360 	Mp2g07360 	Mp2g07360 	Mp2g07360 	Mp2g07360 	
mRNA 	Mapoly0015s0023 	Mp2g07370 	Mp2g07370 	Mp2g07370 	Mp2g07370 	Mp2g07370 	
mRNA 	Mapoly0015s0025 	Mp2g07380 	Mp2g07380 	Mp2g07380 	Mp2g07380 	Mp2g07380 	
mRNA 	Mapoly0015s0026 	Mp2g07390 	Mp2g07390 	Mp2g07390 	Mp2g07390 	Mp2g07390 	
mRNA 	Mapoly0015s0027 	Mp2g07400 	Mp2g07400 	Mp2g07400 	Mp2g07400 	Mp2g07400 	
mRNA 	Mapoly0015s0028 	Mp2g07410 	Mp2g07410 	Mp2g07410 	Mp2g07410 	Mp2g07410 	
mRNA 	Mapoly1114s0001 	Mp2g07420 	Mp2g07420 	Mp2g07420 	Mp2g07420 	Mp2g07420 	
mRNA 	Mapoly0015s0029 	Mp2g07430 	Mp2g07430 	Mp2g07430 	Mp2g07430 	Mp2g07430 	
mRNA 	Mapoly0015s0030 	Mp2g07440 	Mp2g07440 	Mp2g07440 	Mp2g07440 	Mp2g07440 	
mRNA 	Mapoly0015s0031 	Mp2g07450 	Mp2g07450 	Mp2g07450 	Mp2g07450 	Mp2g07450 	
mRNA 	Mapoly0015s0032 	Mp2g07460 	Mp2g07460 	Mp2g07460 	Mp2g07460 	Mp2g07460 	
mRNA 	Mapoly0015s0033 	Mp2g07470 	Mp2g07470 	Mp2g07470 	Mp2g07470 	Mp2g07470 	
mRNA 	Mapoly0015s0034 	Mp2g07480 	Mp2g07480 	Mp2g07480 	Mp2g07480 	Mp2g07480 	
mRNA 	Mapoly0015s0035 	Mp2g07490 	Mp2g07490 	Mp2g07490 	Mp2g07490 	Mp2g07490 	
mRNA 	Mapoly0015s0036 	Mp2g07500 	Mp2g07500 	Mp2g07500 	Mp2g07500 	Mp2g07500 	
mRNA 	Mapoly0015s0037 	Mp2g07510 	Mp2g07510 	Mp2g07510 	Mp2g07510 	Mp2g07510 	
mRNA 	Mapoly0015s0038 	Mp2g07520 	Mp2g07520 	Mp2g07520 	Mp2g07520 	Mp2g07520 	
mRNA 	Mapoly0015s0039 	Mp2g07530 	Mp2g07530 	Mp2g07530 	Mp2g07530 	Mp2g07530 	
mRNA 	Mapoly0015s0040 	Mp2g07540 	Mp2g07540 	Mp2g07540 	Mp2g07540 	Mp2g07540 	
mRNA 	Mapoly0015s0041 	Mp2g07550 	Mp2g07550 	Mp2g07550 	Mp2g07550 	Mp2g07550 	
mRNA 	Mapoly0015s0042 	Mp2g07560 	Mp2g07560 	Mp2g07560 	Mp2g07560 	Mp2g07560 	
mRNA 	Mapoly0015s0043 	Mp2g07570 	Mp2g07570 	Mp2g07570 	Mp2g07570 	Mp2g07570 	
mRNA 	Mapoly0015s0044 	Mp2g07580 	Mp2g07580 	Mp2g07580 	Mp2g07580 	Mp2g07580 	
mRNA 	Mapoly0015s0045 	Mp2g07590 	Mp2g07590 	Mp2g07590 	Mp2g07590 	Mp2g07590 	
mRNA 	Mapoly0015s0046 	Mp2g07600 	Mp2g07600 	Mp2g07600 	Mp2g07600 	Mp2g07600 	
mRNA 	Mapoly0015s0047 	Mp2g07610 	Mp2g07610 	Mp2g07610 	Mp2g07610 	Mp2g07610 	
mRNA 	Mapoly0015s0048 	Mp2g07620 	Mp2g07620 	Mp2g07620 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0015s0049 	Mp2g07630 	Mp2g07630 	Mp2g07630 	Mp2g07630 	Mp2g07630 	
mRNA 	Mapoly0015s0050 	Mp2g07640 	Mp2g07640 	Mp2g07640 	Mp2g07640 	Mp2g07640 	
mRNA 	Mapoly0015s0051 	Mp2g07650 	Mp2g07650 	Mp2g07650 	Mp2g07650 	Mp2g07650 	
mRNA 	Mapoly0015s0052 	Mp2g07660 	Mp2g07660 	Mp2g07660 	Mp2g07660 	Mp2g07660 	
mRNA 	Mapoly0015s0053 	Mp2g07670 	Mp2g07670 	Mp2g07670 	Mp2g07670 	Mp2g07670 	
mRNA 	Mapoly0015s0054 	Mp2g07680 	Mp2g07680 	Mp2g07680 	Mp2g07680 	Mp2g07680 	
mRNA 	Mapoly0015s0055 	Mp2g07690 	Mp2g07690 	Mp2g07690 	Mp2g07690 	Mp2g07690 	
mRNA 	Mapoly0015s0056 	Mp2g07700 	Mp2g07700 	Mp2g07700 	Mp2g07700 	Mp2g07700 	
mRNA 	Mapoly0015s0057 	Mp2g07710 	Mp2g07710 	Mp2g07710 	Mp2g07710 	Mp2g07710 	
mRNA 	Mapoly0015s0058 	Mp2g07720 	Mp2g07720 	Mp2g07720 	Mp2g07720 	Mp2g07720 	
mRNA 	Mapoly0015s0059 	Mp2g07730 	Mp2g07730 	Mp2g07730 	Mp2g07730 	Mp2g07730 	
mRNA 	Mapoly0015s0060 	Mp2g07740 	Mp2g07740 	Mp2g07740 	Mp2g07740 	Mp2g07740 	
mRNA 	Mapoly0015s0061 	Mp2g07750 	Mp2g07750 	Mp2g07750 	Mp2g07750 	Mp2g07750 	
mRNA 	Mapoly0015s0062 	Mp2g07760 	Mp2g07760 	Mp2g07760 	Mp2g07760 	Mp2g07760 	
mRNA 	Mapoly0015s0063 	Mp2g07770 	Mp2g07770 	Mp2g07770 	Mp2g07770 	Mp2g07770 	
mRNA 	Mapoly0015s0064 	Mp2g07780 	Mp2g07780 	Mp2g07780 	Mp2g07780 	Mp2g07780 	
mRNA 	Mapoly0015s0065 	Mp2g07790 	Mp2g07790 	Mp2g07790 	Mp2g07790 	Mp2g07790 	
mRNA 	Mapoly0015s0066 	Mp2g07800 	Mp2g07800 	Mp2g07800 	Mp2g07800 	Mp2g07800 	
mRNA 	Mapoly0015s0067 	Mp2g07810 	Mp2g07810 	Mp2g07810 	Mp2g07810 	Mp2g07810 	
mRNA 	Mapoly0015s0068 	Mp2g07820 	Mp2g07820 	Mp2g07820 	Mp2g07820 	Mp2g07820 	
mRNA 	Mapoly0015s0069 	Mp2g07830 	Mp2g07830 	Mp2g07830 	Mp2g07830 	Mp2g07830 	
mRNA 	Mapoly0015s0070 	Mp2g07840 	Mp2g07840 	Mp2g07840 	Mp2g07840 	Mp2g07840 	
mRNA 	Mapoly0015s0071 	Mp2g07850 	Mp2g07850 	Mp2g07850 	Mp2g07850 	Mp2g07850 	
mRNA 	Mapoly0015s0072 	Mp2g07860 	Mp2g07860 	Mp2g07860 	Mp2g07860 	Mp2g07860 	
mRNA 	Mapoly0015s0073 	Mp2g07870 	Mp2g07870 	Mp2g07870 	Mp2g07870 	Mp2g07870 	
mRNA 	Mapoly0015s0074 	Mp2g07880 	Mp2g07880 	Mp2g07880 	Mp2g07880 	Mp2g07880 	
mRNA 	Mapoly0015s0075 	Mp2g07890 	Mp2g07890 	Mp2g07890 	Mp2g07890 	Mp2g07890 	
mRNA 	Mapoly0015s0076 	Mp2g07900 	Mp2g07900 	Mp2g07900 	Mp2g07900 	Mp2g07900 	
mRNA 	Mapoly0015s0077 	Mp2g07910 	Mp2g07910 	Mp2g07910 	Mp2g07910 	Mp2g07910 	
mRNA 	Mapoly0015s0078 	Mp2g07920 	Mp2g07920 	Mp2g07920 	Mp2g07920 	Mp2g07920 	
mRNA 	Mapoly0015s0079 	Mp2g07930 	Mp2g07930 	Mp2g07930 	Mp2g07930 	Mp2g07930 	
mRNA 	Mapoly0015s0080 	Mp2g07940 	Mp2g07940 	Mp2g07940 	Mp2g07940 	Mp2g07940 	
mRNA 	Mapoly0015s0081 	Mp2g07950 	Mp2g07950 	Mp2g07950 	Mp2g07950 	Mp2g07950 	
mRNA 	Mapoly0015s0082 	Mp2g07960 	Mp2g07960 	Mp2g07960 	Mp2g07960 	Mp2g07960 	
mRNA 	Mapoly0015s0083 	Mp2g07970 	Mp2g07970 	Mp2g07970 	Mp2g07970 	Mp2g07970 	
mRNA 	Mapoly0015s0085 	Mp2g07980 	Mp2g07980 	Mp2g07980 	Mp2g07980 	Mp2g07980 	
mRNA 	Mapoly0015s0086 	Mp2g07990 	Mp2g07990 	Mp2g07990 	Mp2g07990 	Mp2g07990 	
mRNA 	Mapoly0015s0087 	Mp2g08000 	Mp2g08000 	Mp2g08000 	Mp2g08000 	Mp2g08000 	
mRNA 	Mapoly0015s0088 	Mp2g08010 	Mp2g08010 	Mp2g08010 	Mp2g08010 	Mp2g08010 	
mRNA 	Mapoly0015s0089 	Mp2g08020 	Mp2g08020 	Mp2g08020 	Mp2g08020 	Mp2g08020 	
mRNA 	Mapoly0015s0090 	Mp2g08030 	Mp2g08030 	Mp2g08030 	Mp2g08030 	Mp2g08030 	
mRNA 	Mapoly0015s0091 	Mp2g08040 	Mp2g08040 	Mp2g08040 	Mp2g08040 	Mp2g08040 	
mRNA 	Mapoly0015s0092 	Mp2g08050 	Mp2g08050 	Mp2g08050 	Mp2g08050 	Mp2g08050 	
mRNA 	Mapoly0015s0093 	Mp2g08060 	Mp2g08060 	Mp2g08060 	Mp2g08060 	Mp2g08060 	
mRNA 	Mapoly0015s0094 	Mp2g08070 	Mp2g08070 	Mp2g08070 	Mp2g08070 	Mp2g08070 	
mRNA 	Mapoly0015s0095 	Mp2g08080 	Mp2g08080 	Mp2g08080 	Mp2g08080 	Mp2g08080 	
mRNA 	Mapoly0015s0096 	Mp2g08090 	Mp2g08090 	Mp2g08090 	Mp2g08090 	Mp2g08090 	
mRNA 	- 	Mp2g08100 	- 	- 	- 	- 	
mRNA 	- 	Mp2g08110 	Mp2g08110 	Mp2g08110 	Mp2g08110 	Mp2g08110 	
mRNA 	Mapoly0015s0097 	Mp2g08120 	Mp2g08120 	Mp2g08120 	Mp2g08120 	Mp2g08120 	
mRNA 	Mapoly0015s0098 	Mp2g08130 	- 	- 	- 	- 	
mRNA 	Mapoly0015s0099 	Mp2g08140 	Mp2g08140 	Mp2g08140 	Mp2g08140 	Mp2g08140 	
mRNA 	Mapoly0015s0100 	Mp2g08150 	Mp2g08150 	Mp2g08150 	Mp2g08150 	Mp2g08150 	
mRNA 	Mapoly0015s0101 	Mp2g08160 	Mp2g08160 	Mp2g08160 	Mp2g08160 	Mp2g08160 	
mRNA 	Mapoly0015s0102 	Mp2g08170 	Mp2g08170 	Mp2g08170 	Mp2g08170 	Mp2g08170 	
mRNA 	Mapoly0015s0103 	Mp2g08180 	Mp2g08180 	Mp2g08180 	Mp2g08180 	Mp2g08180 	
mRNA 	Mapoly0015s0104 	Mp2g08190 	Mp2g08190 	Mp2g08190 	Mp2g08190 	Mp2g08190 	
mRNA 	Mapoly0015s0105 	Mp2g08200 	Mp2g08200 	Mp2g08200 	Mp2g08200 	Mp2g08200 	
mRNA 	Mapoly0015s0106 	Mp2g08210 	Mp2g08210 	Mp2g08210 	Mp2g08210 	Mp2g08210 	
mRNA 	Mapoly0015s0107 	Mp2g08220 	Mp2g08220 	Mp2g08220 	Mp2g08220 	- 	deleted as of v7.1
mRNA 	Mapoly0015s0108 	Mp2g08230 	Mp2g08230 	Mp2g08230 	Mp2g08230 	Mp2g08230 	
mRNA 	Mapoly0015s0109 	Mp2g08240 	Mp2g08240 	Mp2g08240 	Mp2g08240 	Mp2g08240 	
mRNA 	Mapoly0015s0110 	Mp2g08250 	Mp2g08250 	Mp2g08250 	Mp2g08250 	Mp2g08250 	
mRNA 	Mapoly0474s0001 	Mp2g08260 	Mp2g08260 	Mp2g08260 	Mp2g08260 	Mp2g08260 	
mRNA 	Mapoly0015s0111 	Mp2g08270 	Mp2g08270 	Mp2g08270 	Mp2g08270 	Mp2g08270 	
mRNA 	Mapoly0015s0113 	Mp2g08280 	Mp2g08280 	Mp2g08280 	Mp2g08280 	Mp2g08280 	
mRNA 	Mapoly0015s0114 	Mp2g08290 	Mp2g08290 	Mp2g08290 	Mp2g08290 	Mp2g08290 	
mRNA 	Mapoly0015s0115 	Mp2g08300 	Mp2g08300 	Mp2g08300 	Mp2g08300 	Mp2g08300 	
mRNA 	Mapoly0015s0116 	Mp2g08310 	Mp2g08310 	Mp2g08310 	Mp2g08310 	Mp2g08310 	
mRNA 	Mapoly0015s0117 	Mp2g08320 	Mp2g08320 	Mp2g08320 	Mp2g08320 	Mp2g08320 	
mRNA 	Mapoly0015s0118 	Mp2g08330 	Mp2g08330 	Mp2g08330 	Mp2g08330 	Mp2g08330 	
mRNA 	Mapoly0015s0119 	Mp2g08340 	Mp2g08340 	Mp2g08340 	Mp2g08340 	Mp2g08340 	
mRNA 	Mapoly0015s0120 	Mp2g08350 	Mp2g08350 	Mp2g08350 	Mp2g08350 	Mp2g08350 	
mRNA 	Mapoly0015s0121 	Mp2g08360 	Mp2g08360 	Mp2g08360 	Mp2g08360 	Mp2g08360 	
mRNA 	Mapoly0015s0122 	Mp2g08370 	Mp2g08370 	Mp2g08370 	Mp2g08370 	Mp2g08370 	
mRNA 	Mapoly0015s0123 	Mp2g08380 	Mp2g08380 	Mp2g08380 	Mp2g08380 	Mp2g08380 	
mRNA 	Mapoly0015s0124 	Mp2g08390 	Mp2g08390 	Mp2g08390 	Mp2g08390 	Mp2g08390 	
mRNA 	Mapoly0015s0125 	Mp2g08400 	Mp2g08400 	Mp2g08400 	Mp2g08400 	Mp2g08400 	
mRNA 	Mapoly0015s0126 	Mp2g08410 	Mp2g08410 	Mp2g08410 	Mp2g08410 	Mp2g08410 	
mRNA 	Mapoly0015s0127 	Mp2g08420 	Mp2g08420 	Mp2g08420 	Mp2g08420 	Mp2g08420 	
mRNA 	Mapoly0015s0128 	Mp2g08430 	Mp2g08430 	Mp2g08430 	Mp2g08430 	Mp2g08430 	
mRNA 	Mapoly0015s0129 	Mp2g08440 	Mp2g08440 	Mp2g08440 	Mp2g08440 	Mp2g08440 	
mRNA 	Mapoly0015s0130 	Mp2g08450 	- 	- 	- 	- 	
mRNA 	Mapoly0015s0131 	Mp2g08460 	Mp2g08460 	Mp2g08460 	Mp2g08460 	Mp2g08460 	
mRNA 	Mapoly0015s0132 	Mp2g08470 	Mp2g08470 	Mp2g08470 	Mp2g08470 	Mp2g08470 	
mRNA 	Mapoly0015s0133 	Mp2g08480 	Mp2g08480 	Mp2g08480 	Mp2g08480 	Mp2g08480 	
mRNA 	Mapoly0015s0134 	Mp2g08490 	Mp2g08490 	Mp2g08490 	Mp2g08490 	Mp2g08490 	
mRNA 	Mapoly0015s0135 	Mp2g08500 	Mp2g08500 	Mp2g08500 	Mp2g08500 	Mp2g08500 	
mRNA 	Mapoly0015s0136 	Mp2g08510 	Mp2g08510 	Mp2g08510 	Mp2g08510 	Mp2g08510 	
mRNA 	Mapoly0015s0137 	Mp2g08520 	Mp2g08520 	Mp2g08520 	Mp2g08520 	Mp2g08520 	
mRNA 	Mapoly0015s0138 	Mp2g08530 	Mp2g08530 	Mp2g08530 	Mp2g08530 	Mp2g08530 	
mRNA 	Mapoly0015s0139 	Mp2g08540 	Mp2g08540 	Mp2g08540 	Mp2g08540 	Mp2g08540 	
mRNA 	Mapoly0015s0140 	Mp2g08550 	Mp2g08550 	Mp2g08550 	Mp2g08550 	Mp2g08550 	
mRNA 	Mapoly0015s0141 	Mp2g08560 	Mp2g08560 	Mp2g08560 	Mp2g08560 	Mp2g08560 	
mRNA 	Mapoly0015s0142 	Mp2g08570 	Mp2g08570 	Mp2g08570 	Mp2g08570 	Mp2g08570 	
mRNA 	Mapoly0015s0143 	Mp2g08580 	Mp2g08580 	Mp2g08580 	Mp2g08580 	Mp2g08580 	
mRNA 	Mapoly0015s0144 	Mp2g08590 	Mp2g08590 	Mp2g08590 	Mp2g08590 	Mp2g08590 	
mRNA 	Mapoly0015s0145 	Mp2g08600 	Mp2g08600 	Mp2g08600 	Mp2g08600 	Mp2g08600 	
mRNA 	Mapoly0015s0146 	Mp2g08610 	Mp2g08610 	Mp2g08610 	Mp2g08610 	Mp2g08610 	
mRNA 	Mapoly0015s0147 	Mp2g08620 	Mp2g08620 	Mp2g08620 	Mp2g08620 	Mp2g08620 	
mRNA 	Mapoly0015s0148 	Mp2g08630 	Mp2g08630 	Mp2g08630 	Mp2g08630 	Mp2g08630 	
mRNA 	Mapoly0015s0149 	Mp2g08640 	Mp2g08640 	Mp2g08640 	Mp2g08640 	Mp2g08640 	
mRNA 	Mapoly0015s0150 	Mp2g08650 	Mp2g08650 	Mp2g08650 	Mp2g08650 	Mp2g08650 	
mRNA 	Mapoly0015s0151 	Mp2g08660 	Mp2g08660 	Mp2g08660 	Mp2g08660 	Mp2g08660 	
mRNA 	Mapoly0015s0152 	Mp2g08670 	Mp2g08670 	Mp2g08670 	Mp2g08670 	Mp2g08670 	
mRNA 	Mapoly0015s0153 	Mp2g08680 	Mp2g08680 	Mp2g08680 	Mp2g08680 	Mp2g08680 	
mRNA 	Mapoly0015s0154 	Mp2g08690 	Mp2g08690 	Mp2g08690 	Mp2g08690 	Mp2g08690 	
mRNA 	Mapoly0015s0155 	Mp2g08700 	Mp2g08700 	Mp2g08700 	Mp2g08700 	Mp2g08700 	
mRNA 	Mapoly0015s0156 	Mp2g08710 	Mp2g08710 	Mp2g08710 	Mp2g08710 	Mp2g08710 	
mRNA 	Mapoly0015s0157 	Mp2g08720 	Mp2g08720 	Mp2g08720 	Mp2g08720 	Mp2g08720 	
mRNA 	Mapoly0015s0158 	Mp2g08730 	Mp2g08730 	Mp2g08730 	Mp2g08730 	Mp2g08730 	
mRNA 	Mapoly0015s0159 	Mp2g08740 	Mp2g08740 	Mp2g08740 	Mp2g08740 	Mp2g08740 	
mRNA 	Mapoly0015s0160 	Mp2g08750 	Mp2g08750 	Mp2g08750 	Mp2g08750 	Mp2g08750 	
mRNA 	Mapoly0015s0161 	Mp2g08760 	Mp2g08760 	Mp2g08760 	Mp2g08760 	Mp2g08760 	
